Num_equipement,Systeme,Description,Date de détéction de l'anomalie,Description de l'équipement,Section propriétaire,Fiabilité Intégrité
e510a0fd-73a2-44db-b67d-0c93e32ebb37,f7edce60-d1a5-401a-b673-f1193930615c,problem du cablage du niveaustat.,2020-01-27 08:50:00,SAS A SOUS CHAMP 5 ELECTROFILTRE B,34CT,1
f21872d1-3944-49d2-b957-82c978802eb7,37494786-8eeb-404e-bedf-f532bab67dea,DEFAUT THERMOCOUPLE ENROULEMENT PPE EXTRACTION N°10,2020-01-27 08:52:00,Mesure de Température Enroulement 1 Moteur de la Pompe d'Extraction 10,34CT,1
6884f0c2-f3a5-4ae3-b753-a8e10d37acd6,8c925644-3527-4713-a37a-7458857987ae,prévoir un appoint d'huile au pompe d'extraction 20,2020-01-27 08:55:00,CLAPET AU REFOULEMENT DE LA POMPE D'EXTRACTION N°2,34MM,1
cb0d58a2-ccdd-4313-9f86-9d2b3ce0c54b,f771d801-5357-4818-976c-6a8102b713e2,Prévoir vidange convoyeur CV économiseur haut,2020-01-27 08:56:00,CONVOYEUR CENDRE VOLANTE TREMIE ECONOMISEUR,34MC,1
66e16ba3-63da-4e8b-a3a6-20af922e1d1a,b19afa19-b87f-43d7-b83e-d3c8a4d4f967,prévoir tarer la soupape du ramoneur LG : la pression élevée,2020-01-27 09:17:00,RAMONEUR DE RÉCHAUFFEUR D'AIR,34MC,1
0e41aadf-09f1-47db-add8-1643c33ef9b7,8ab799f5-144f-420c-b426-3d7e36b13f59,soupape du ramoneur IK27 non étanche (lance chaude),2020-01-27 09:18:00,SOUPAPE DE RAMONEUR LONG RETRACTABLE N°27 TYPE IK,34MC,1
65193ddf-9215-4cef-b31f-14ebbff9a11c,f7edce60-d1a5-401a-b673-f1193930615c,fuite de cendres au niveau du coud silo ( 1A&2A).,2020-01-27 09:19:00,SAS A SOUS CHAMP 1 ELECTROFILTRE A,34MD,1
a342ce77-64b3-4a63-a994-8aee6d111595,1fadbd2e-8213-45b5-bbe7-609c9f9b4360,Dérailleur indisponible ( défaut électrique ) .,2020-01-28 07:19:00,Dégrilleur,34EL,2
fb551b8b-2183-4ea2-b7a0-0c6ece1c3946,cbd40d2b-59cc-4db7-9f41-2986a167df77,Fuite d'eau par GM,2020-01-28 11:53:00,Pompe alimentaire  principale  N° 30,34MM,1
cd86a319-8e23-4223-bd17-b3bb1a1fc861,a8bd07dc-564e-4fd3-b1de-77bf2d6a645e,prévoir contrôle by passe conductivité circuit MKF,2020-01-28 15:11:00,"Q,CDUCT GEN M-CIRC",CH,3
e8c347a4-001b-44e1-a59b-a9c5915681ab,e96ee01c-6d13-480b-a5bc-2c49bb05c70e,fuite d'eau déminéralisé au niveau de la conduite d'alimentation des appoints normales 3/4 ( devant les éjecteurs de maintien U3. ),2020-01-28 15:12:00,V/R NIVEAU NORMAL BA,34MD,1
819d01ae-0e98-4e07-8d00-b73490687098,5f391c46-4f9f-41db-a5bc-95a214d7ddc7,vanne de vidange pompe booster de la pompe alimentaire n°30 a changer (non opérationnel),2020-01-28 15:13:00,SOUPAPE D'ASPIRATION POMPE BOOSTER 30.,34MD,1
9389ae01-4d93-4df8-aeeb-1f17c0008fde,5f391c46-4f9f-41db-a5bc-95a214d7ddc7,Vanne by pass de la vanne d'aspiration pompe alimentaire n°30 a changer (tige et volant cassé),2020-01-28 15:14:00,Vanne Aspiration Pompe N° 30,34MM,1
cb0d58a2-ccdd-4313-9f86-9d2b3ce0c54b,f771d801-5357-4818-976c-6a8102b713e2,Dur mécanique convoyeur haut évacuation cendres des trémies économiseur,2020-01-29 09:18:00,CONVOYEUR CENDRE VOLANTE TREMIE ECONOMISEUR,34MC,2
acb56796-3aea-4522-8e3d-d509efd32900,b7dd37f4-8f86-4391-955e-c0db891bec12,Appoint d'huile du compresseur d'air ETP10 .,2020-01-29 09:20:00,COMPRESSEUR D'AIR A TYPE GA90W,34GMC,1
832590c3-dac8-43f6-9b7a-3e904d64a695,00436d58-0122-4896-b67f-e94022a291dc,Serrage des écrous support conduite VS niveau 11 m,2020-01-29 09:39:00,Echangeur SHT,34MD,1
f8c30913-6eee-48b1-a23f-7b131064a502,e1768504-8b0f-4753-b9d8-35888de02a4b,PRÉVOIR SOUFFLAGE FILTRE MOTEUR SOUFFLAGE B,2020-01-30 09:06:00,Moteur de souflage B,34EL,1
e17351b0-f9ff-46da-95f1-05903f4d081f,c5799184-0dba-4180-a805-1028a4215ab8,Le champ 2B déclenché par HT trop basse .,2020-01-30 09:07:00,Electrofiltre B champs 2,34EL,1
510dc089-812c-4583-90db-9bda4094c9a9,c5799184-0dba-4180-a805-1028a4215ab8,Le courant primaire du champ 4A trés élevée .,2020-01-30 09:07:00,Electrofiltre A champs 4,34EL,1
ecd708b4-1faf-49fe-8404-ac315a884479,8ab799f5-144f-420c-b426-3d7e36b13f59,PRÉVOIR LA REMISE EN ETAT COFFRÉE DE COMMANDE RAMONEUR RÉCHAUFFEUR D'AIR RLJ  (COFFRÉE ETAT DÉGRADÉE),2020-01-30 09:07:00,Systeme ramonage U3,34EL,1
1ff7113d-f4e3-4543-a961-9db71b1e07b6,39d80114-6550-4afc-9cbc-fc0fb22f22cc,déviation mesure pression ballon,2020-01-30 09:49:00,Transmetteur 3 de pression ballon chaudière,34CT,1
f1e319d4-dd44-4298-ba77-77d6d8d73d39,5d34ddc7-cd24-4926-ad7d-99b73e817c51,déviation transmetteur pression foyer,2020-01-31 14:12:00,Transmetteur de pression foyer ..,34CT,2
e5b1e3ce-17f6-440f-820f-9397a81eb333,b19afa19-b87f-43d7-b83e-d3c8a4d4f967,fuite d'huile par arrêt d'huile arbre d'entrainement entre moteur électrique et réchauffeur d'air,2020-02-01 02:13:50,RECHAUFFEUR D'AIR.,34MC,1
c755c763-4784-42ff-9666-a438641f759b,f9ac871c-eaba-47b9-9168-b7b3c1d7364e,fuite d'air chaud au caisson d'air d'angle 1 plan cd annule par OT1047985,2020-02-01 10:12:06,Combustion air supply system U3,34MC,2
6ec5a2b1-4f3d-4dee-9050-505199fdb767,3fd2646c-d180-4fb9-bd7a-6f7f2fa9d069,SOUPAPE NON ETANCHE BP4,2020-02-01 13:11:00,Soupape,34MM,1
6ec5a2b1-4f3d-4dee-9050-505199fdb767,3fd2646c-d180-4fb9-bd7a-6f7f2fa9d069,soupape mécanique réchauffeur BP4 bloquée en ouverture,2020-02-03 08:48:00,Soupape,34MM,1
3ea80e51-1426-4181-8c47-e8029083919a,d1e82ff1-e194-4fcb-b805-d88cf1ac7945,fuite des condensats au niveau du réchauffeur fioul numéro 20.,2020-02-03 13:52:00,RÉCHAUFFEUR FIOUL N°20,34MD,2
3a6e867c-f49c-45a7-938c-431d4524b852,ee3abc7a-0120-4715-bc5b-62a05a6d6c99,Perçage des trous moteur par chalumeau,2020-02-04 10:20:00,REGISTRE DE REGLAGE DE PRESSION D'AIR,34MD,1
145c7ad6-447f-4a3f-8a9f-0ef1dca2bd85,c5799184-0dba-4180-a805-1028a4215ab8,Le champ 3B déclenché par HT trop basse .,2020-02-05 07:24:00,Electrofiltre B champs 3,34EL,1
8e834c10-6125-474f-bcba-b6bc7221f4b8,ee3abc7a-0120-4715-bc5b-62a05a6d6c99,démarrage moto ventilateur broyeurs étanchéité sans ordre,2020-02-05 07:25:00,MOTEUR VENTILATEUR AIR D'ETANCHEITE BROYEURS,34EL,3
dcd4635e-ec4c-43ec-90f2-3ff21755c46a,f771d801-5357-4818-976c-6a8102b713e2,Travaux de remplacement de la chaine,2020-02-05 11:55:00,DECRASSEUR,34MD,1
1719f1c4-fb39-4d7e-a7e4-b9be4ce9b4b6,f8c9a701-d706-4186-a4ab-5576d5df25da,calorifuge des injecteurs SO3,2020-02-05 12:28:00,Systéme SO3,34MD,2
df91fcb7-be9c-4278-839a-dc92a5e8c722,c111ab6f-a961-43ce-b8fe-54b2abf73628,Manque fin de course trappe sortie broyeur A ( 011 et 012 ),2020-02-06 08:15:00,PULVERIZER A1 DISCHARGE,34CT,1
6a32f1c9-4065-43da-8f32-56d325dd0190,cbd40d2b-59cc-4db7-9f41-2986a167df77,FUITE DP ASPIRATION POMPE ALIMENTAIRE N°10,2020-02-06 08:17:00,Indicateur de pression,34CT,1
dbfcf0c2-17b9-48db-aab8-f8cae0f40774,f502af0f-2fad-474a-bc39-d882f169d0c7,fuite d'aire chaud au niveau de la sas a refus broyeur A .,2020-02-06 09:47:00,COAL BUNKER A,34MC,2
137a7ee8-3f00-4655-9f1a-66a61a841d7e,f502af0f-2fad-474a-bc39-d882f169d0c7,la trappe trémie alimentateur C ne s ouvre pas ( 30HFA30AA001 ),2020-02-06 09:48:00,COAL BUNKER C,34MC,1
1719f1c4-fb39-4d7e-a7e4-b9be4ce9b4b6,f8c9a701-d706-4186-a4ab-5576d5df25da,Prévoir contrôlé le tarage du PCV alimentation vapeur auxiliaire Système SO3 .,2020-02-07 09:52:00,Systéme SO3,34CT,2
1719f1c4-fb39-4d7e-a7e4-b9be4ce9b4b6,f8c9a701-d706-4186-a4ab-5576d5df25da,fuite par bride ( vanne aprés Heater ),2020-02-07 11:20:00,Systéme SO3,34MC,2
11dbedc0-327e-46f7-bcf3-c33ad1d487d9,8ab799f5-144f-420c-b426-3d7e36b13f59,vanne régulatrice de pression ramonage RLJ non étanche,2020-02-07 11:21:00,BOILER  SOOTBLOWER  PESSURE REDUCING STATION,34MC,1
e8c347a4-001b-44e1-a59b-a9c5915681ab,e96ee01c-6d13-480b-a5bc-2c49bb05c70e,élimination de la fuite au niveau de la conduite,2020-02-07 11:59:00,V/R NIVEAU NORMAL BA,34MD,1
3ea80e51-1426-4181-8c47-e8029083919a,d1e82ff1-e194-4fcb-b805-d88cf1ac7945,Élimination fuite vapeur au niveau du clapet antiretour,2020-02-07 12:02:00,RÉCHAUFFEUR FIOUL N°20,34MD,2
1719f1c4-fb39-4d7e-a7e4-b9be4ce9b4b6,f8c9a701-d706-4186-a4ab-5576d5df25da,PRÉVOIR LE CONTRÔLE DU FONCTIONNEMENT RÉSISTANCE CHAUFFANTE (40°C),2020-02-10 07:21:00,Systéme SO3,34EL,2
7a17aceb-3714-4f64-85c7-2425cb2af5ff,578d559c-d974-47ac-9593-1e8be80dad13,Contrôle contacteur K1 sur l armoire 30BTL01-02 ( fermeture et ouverture avec alarme : Low min voltage ),2020-02-10 07:22:00,"Rectifiers, battery charger",34EL,1
b042dbde-eed3-4fbc-8f76-e0d91bd3020d,3cca8df0-66e0-4b80-b6e2-e3b45e49fcda,fuite phosphate trisodique,2020-02-10 07:46:00,Echangeur Noria,CH,1
a342ce77-64b3-4a63-a994-8aee6d111595,1fadbd2e-8213-45b5-bbe7-609c9f9b4360,dégrilleur U3  a inspecter plusieurs déformation au niveau de l'équipement .,2020-02-10 07:46:00,Dégrilleur,34MM,2
9171629b-10d1-4327-96b9-3e28eb8ed643,f8c9a701-d706-4186-a4ab-5576d5df25da,Fuit au niveau de la bride de la vanne TOR d'air chaud entrée burner,2020-02-10 15:00:00,VANNE TOR 1/4 TOUR SORTIE RECHAUFFEUR D'AIR,34MC,2
cb0d58a2-ccdd-4313-9f86-9d2b3ce0c54b,f771d801-5357-4818-976c-6a8102b713e2,DUR MÉCANIQUE CONVOYEUR HAUT SYSTÈME ÉCONOMISEUR,2020-02-10 15:01:00,CONVOYEUR CENDRE VOLANTE TREMIE ECONOMISEUR,34MC,2
ecd708b4-1faf-49fe-8404-ac315a884479,8ab799f5-144f-420c-b426-3d7e36b13f59,les lances des ramoneurs suivants sont chaudes:IK06/IK16/IK23/IK17/IK10/IK18/IK36/IK14/IK52/IK53,2020-02-10 15:14:00,Systeme ramonage U3,34MC,1
5d919d81-2426-4df4-a6c3-91c4cd0a5b21,e96ee01c-6d13-480b-a5bc-2c49bb05c70e,fuite d'eau déminéralisé conduite appoint normale condenseur (percement ),2020-02-10 15:19:00,VANNE D'ISOLEMENT APPOINT NORMAL CONDENSEUR,34MD,1
709da81f-6eef-43f3-886a-530021d148df,39d80114-6550-4afc-9cbc-fc0fb22f22cc,contrôle des enceintes sous pression en compagne agent APAVE,2020-02-11 14:33:00,BALLON CHAUDIERE.,34MD,3
b5e5f2a6-df0f-41da-8465-b4159b200c73,c111ab6f-a961-43ce-b8fe-54b2abf73628,Soudage des racleurs refus broyeur,2020-02-12 15:01:00,broyeur C,34MD,1
806d6154-7913-4592-8431-ea152dccee67,3cca8df0-66e0-4b80-b6e2-e3b45e49fcda,PRÉVOIR NETTOYAGE ÉCHANGEUR NORIA N°20,2020-02-13 07:48:00,Echangeur Noria,34MM,1
5d919d81-2426-4df4-a6c3-91c4cd0a5b21,e96ee01c-6d13-480b-a5bc-2c49bb05c70e,PRÉVOIR CONTROL POSITION VANNE D'APPOINT NORMAL CONDENSEUR,2020-02-13 08:20:00,VANNE D'ISOLEMENT APPOINT NORMAL CONDENSEUR,34CT,1
3ea80e51-1426-4181-8c47-e8029083919a,d1e82ff1-e194-4fcb-b805-d88cf1ac7945,Remise en état des tôles de calorifuge des conduite réchauffeur fioul,2020-02-14 12:22:00,RÉCHAUFFEUR FIOUL N°20,34MD,1
2dccef52-14f6-4ffc-aaab-ad1642136be2,e96ee01c-6d13-480b-a5bc-2c49bb05c70e,Bruit anormal clapet anti retour conduite d'appoint eau déminéralisée du Bache Tampon (30GHC10AA024 ) vibration excessif de la conduite,2020-02-17 07:44:00,VANNE D'APPOINT BÂCHE TAMPON.,34MM,2
1719f1c4-fb39-4d7e-a7e4-b9be4ce9b4b6,f8c9a701-d706-4186-a4ab-5576d5df25da,fuite du vapeur au niveau de la bride de la vanne d'isolement du purgeur automatique système so3 ( vapeur du traçage soufre ),2020-02-17 09:01:00,Systéme SO3,34MC,2
cb0d58a2-ccdd-4313-9f86-9d2b3ce0c54b,f771d801-5357-4818-976c-6a8102b713e2,dur mécanique convoyeur haut système évacuation économiseur,2020-02-17 09:09:00,CONVOYEUR CENDRE VOLANTE TREMIE ECONOMISEUR,34MC,2
f1e319d4-dd44-4298-ba77-77d6d8d73d39,5d34ddc7-cd24-4926-ad7d-99b73e817c51,prévoir soufflage des transmetteur pression foyer.,2020-02-17 10:28:00,Transmetteur de pression foyer ..,34CT,2
6ec5a2b1-4f3d-4dee-9050-505199fdb767,3fd2646c-d180-4fb9-bd7a-6f7f2fa9d069,Démontage et remontage du calorifuge soupape,2020-02-18 13:28:00,Soupape,34MD,1
d14b6610-a105-4416-907b-bc99b51b91b9,c5799184-0dba-4180-a805-1028a4215ab8,transfo-redresseur 4A déclenché par minimum tension.,2020-02-19 07:40:00,TRANSFORMATEUR REDRESSEUR CHAMP4 FILE A,34EL,2
c4ad85ee-80d2-43c1-b135-39e48851f961,4329adc9-2947-43f7-ae98-e1006f40aedc,"manque d'éclairage au niveau de la chaudière ( niveau 7, niveau 3 alimentateurs et niveau 0 ventilateur tirage.)",2020-02-19 07:40:00,unité 03,34EL,1
50198e2c-8d7e-460b-b69a-bd69f39e3725,6f54ef91-58f1-46fc-a6cb-b28d8828d9f4,PRÉVOIR RÉGLAGE POSITIONNEUR VANNE D’APPOINT SECOURE CONDENSEUR 30LCP10AA002,2020-02-19 13:28:00,CONDENSEUR PRINCIPAL / MAIN CONDENSER,34CT,3
a342ce77-64b3-4a63-a994-8aee6d111595,1fadbd2e-8213-45b5-bbe7-609c9f9b4360,prévoir l'ajustement du fin de course.,2020-02-20 07:36:00,Dégrilleur,34EL,2
37f0ed5e-cb08-49c2-ac4b-561739e4d960,e96ee01c-6d13-480b-a5bc-2c49bb05c70e,prévoir un Control au niveau des pompes (10 &20) eau déminéralisée (bruit anormal au niveau des clapets ),2020-02-20 07:43:00,POMPE D'APPOINT  (EAU DÉMINÉRALISÉE),34MM,2
4a8d80d6-45d9-478a-904d-e92a628fb53e,b19afa19-b87f-43d7-b83e-d3c8a4d4f967,prévoir appoint d'huile au niveau de réducteur d'entrainement réchauffeur d'air (lungshtrume).,2020-02-20 11:23:00,RÉDUCTEUR DE VITESSE,34MC,1
ba98e3bc-dfc3-4297-b6e1-c6ceaf583c1a,cbd40d2b-59cc-4db7-9f41-2986a167df77,fuite d'eau à l'indicateur de DP filtre d'aspiration pompe alimentaire 10,2020-02-20 14:01:00,Indicateur de pression,34CT,1
f7500953-e292-4e5e-9486-46b579ec1cda,5d34ddc7-cd24-4926-ad7d-99b73e817c51,PRÉVOIR SOUFFLAGE TUBES TRANSMETTEUR DE PRESSION FOYER,2020-02-20 14:02:00,Ttransmetteur de pression foyer ..,34CT,2
a455294f-1c82-493c-9a90-1ab08346dd0f,1fadbd2e-8213-45b5-bbe7-609c9f9b4360,prévoir un control du moteur de filtre tambour.,2020-02-21 07:21:00,Tombour filtarnt,34EL,2
ce0646a0-512a-48cb-99ea-8bd0d94d9950,b38c7261-37ee-452c-af32-54b570ca4c16,fuite vapeur vanne isolement vapeur saturée poste échantillonnage TR03,2020-02-21 08:56:00,VANNE D'ISOLEMENT,34MD,1
b4fdf329-4fe7-4581-97b5-b8b8575df49e,f7edce60-d1a5-401a-b673-f1193930615c,prévoir une inspection général des sas pour 2A.,2020-02-21 08:57:00,SAS A SOUS CHAMP 2 ELECTROFILTRE A,34MC,1
acb56796-3aea-4522-8e3d-d509efd32900,b7dd37f4-8f86-4391-955e-c0db891bec12,prévoir l'appoint d’huile au etp 10.,2020-02-24 07:57:00,COMPRESSEUR D'AIR A TYPE GA90W,34MC,1
c0b407ba-7a42-4b68-9ae6-4fcb6300c8b6,b7dd37f4-8f86-4391-955e-c0db891bec12,vanne sortie sécheur d' etp11 non étanche.,2020-02-24 08:00:00,COMPRESSEUR D'AIR B TYPE GA90W,34MC,1
d38bbef6-0da0-47cd-acbe-24d47ea442a9,b7dd37f4-8f86-4391-955e-c0db891bec12,prévoir le fonctionnement du purgeur automatique du réservoir.,2020-02-24 08:02:00,PURGEUR RESERVOIR INTEMEDIAIRE,34CT,1
e5b1e3ce-17f6-440f-820f-9397a81eb333,b19afa19-b87f-43d7-b83e-d3c8a4d4f967,Remise en état des tôles de calorifuges et bardage,2020-02-24 11:23:00,RECHAUFFEUR D'AIR.,34MD,1
a455294f-1c82-493c-9a90-1ab08346dd0f,1fadbd2e-8213-45b5-bbe7-609c9f9b4360,prévoir l'appoint d'huile .,2020-02-25 07:50:00,Tombour filtarnt,34MM,1
a342ce77-64b3-4a63-a994-8aee6d111595,1fadbd2e-8213-45b5-bbe7-609c9f9b4360,prévoir l'ajustement du fin de course.,2020-02-25 15:12:00,Dégrilleur,34EL,2
c4ad85ee-80d2-43c1-b135-39e48851f961,4329adc9-2947-43f7-ae98-e1006f40aedc,"Manque éclairage au niveau 4/5 et au niveau 3 près de alimentateurs, chaudière 3.",2020-02-25 15:12:00,unité 03,34EL,1
0ba37ef2-d44e-484b-b69f-035d58451cf6,c111ab6f-a961-43ce-b8fe-54b2abf73628,bruit anormale à contrôler au niveau de la gaine de l'air totale entrée broyeur B (percement au niveau de la gaine entrée air chaud au broyeur),2020-02-26 10:22:00,broyeur B,34MD,1
00c21557-302f-4270-b2d7-d48149ef2ba0,1fadbd2e-8213-45b5-bbe7-609c9f9b4360,blocage du racleur au niveau bas . ajustement du détecteur de proximité .,2020-02-26 13:22:00,DEGRILLEUR N°1 /BAR SCREEN,34EL,2
ecd708b4-1faf-49fe-8404-ac315a884479,8ab799f5-144f-420c-b426-3d7e36b13f59,soupape ramoneur rechauffeur d air (RLJ) ne s ouvre pas.,2020-02-28 07:35:00,Systeme ramonage U3,34MC,1
510cc6fe-703f-404a-8e19-1d3b0e1a5884,e96ee01c-6d13-480b-a5bc-2c49bb05c70e,bruit anormale au niveau du moteur (GHC 20).,2020-03-02 07:45:00,POMPE D'APPOINT N°2  (EAU DÉMINÉRALISÉE),34EL,2
95b81bf5-9d80-49dd-8509-a8c8059f9f5a,e96ee01c-6d13-480b-a5bc-2c49bb05c70e,vanne d'aspiration non étanche.,2020-03-02 07:46:00,POMPE D'APPOINT N°1  (EAU DÉMINÉRALISÉE),34MM,1
95b81bf5-9d80-49dd-8509-a8c8059f9f5a,e96ee01c-6d13-480b-a5bc-2c49bb05c70e,vanne d'aspiration non étanche.,2020-03-02 07:46:00,POMPE D'APPOINT N°1  (EAU DÉMINÉRALISÉE),34MM,1
0ba37ef2-d44e-484b-b69f-035d58451cf6,c111ab6f-a961-43ce-b8fe-54b2abf73628,prévoir remise en état percement au niveau de la gaine d'air total entrée broyeur B (niveau 0).,2020-03-02 09:09:00,broyeur B,34MD,1
3ffa4659-2c89-4253-995c-1b2bff6a7223,af0d48e5-2776-479a-9031-9a438791dbe9,Préparation et mise en place des support pour coffret locaux de commande brûleur,2020-03-03 13:40:00,"CORNIER 4 EL ,AB FUEL  OIL ISOLATION",34MD,1
dd77d046-9760-4aa7-8236-ece034e76b5d,cbd40d2b-59cc-4db7-9f41-2986a167df77,Préparation des nouveaux supports de FDC vannes d'aspiration des trois pompes,2020-03-03 13:44:00,ligne eau alimentaire 10,34MD,1
93b220de-7290-4363-9673-fd9713a99b41,bdc3f038-04d2-461d-9f77-c0f5c77b453c, Calibration debimettre mesure air primaire broyeur A /B /C /D  unités 3&4,2020-03-04 14:26:11,PULV A AIR FLOW CALIBATION,34CT,1
15cea147-6977-47f0-b2cb-167fbc8d1ee4,05b99274-9c03-4073-b564-ebfa2d5a5606,prévoir remettre en état un portion du filtre aspiration  Coté tube Pitot de soufflage B (grillage métallique),2020-03-06 15:41:02,Registre au refoulement  ventilateur de souflage  B,34MD,1
f4a83b51-7ff1-4ee1-9c25-0fa44423f059,cbd40d2b-59cc-4db7-9f41-2986a167df77,Rechargement bague booster,2020-03-09 12:18:00,Pompe nouriciere (booster)  N°10,34MD,1
aebb2b3c-58b1-4231-ad95-9f4c76969a6b,bdc3f038-04d2-461d-9f77-c0f5c77b453c,prévoir contrôle fin de course registre TOR  Broyeur -A-,2020-03-09 13:38:00,REGISTRE AIR TOTAL BROYEUR A.,34CT,1
37f0ed5e-cb08-49c2-ac4b-561739e4d960,e96ee01c-6d13-480b-a5bc-2c49bb05c70e,Clapet de la pompe GHC 20 non étanche ( Rotation inverse de la pompe ) .,2020-03-10 07:41:00,POMPE D'APPOINT  (EAU DÉMINÉRALISÉE),34MM,1
95b81bf5-9d80-49dd-8509-a8c8059f9f5a,e96ee01c-6d13-480b-a5bc-2c49bb05c70e,bruit anormale au niveau du clapet au refoulement de la pompe (GHC 10).,2020-03-10 07:44:00,POMPE D'APPOINT N°1  (EAU DÉMINÉRALISÉE),34MM,2
f1e319d4-dd44-4298-ba77-77d6d8d73d39,5d34ddc7-cd24-4926-ad7d-99b73e817c51,PRÉVOIR SOUFFLAGE PRISE DE PRESSION FOYER 30HBK01CP006,2020-03-10 12:05:00,Transmetteur de pression foyer ..,34CT,2
27a7ff2f-92ee-481c-992c-cfcd76881d05,c111ab6f-a961-43ce-b8fe-54b2abf73628,Prévoir la mise a jour des mesures de débit-mètre air primaire et display broyeurs,2020-03-11 14:18:00,Systeme  de broyage U3,34CT,2
79bd5156-01bb-4c99-8a1e-f1f3034dfe79,8339f76d-30eb-4918-99db-854ff69352fb,"Cadre CO2 vide, prévoir un changement du cadre.",2020-03-12 08:52:00,VANNE D'ARRET SORTIE SECHEUR DE GAZ 1,34MM,1
d234b711-45e8-42d8-9080-f970ffc3dc16,8ab799f5-144f-420c-b426-3d7e36b13f59,prévoir contrôle ramoneur Ik 34 (ne se lance pas ),2020-03-13 07:18:00,RAMONEUR LONG RETRACTABLE  IK34,34EL,1
f21bd035-2bc1-44c3-a862-a12d23c1f869,3cca8df0-66e0-4b80-b6e2-e3b45e49fcda,fuite d'eau Noria par raccord de la prise de pression échangeur Noria 10,2020-03-13 08:33:00,MANOMETRE DIFFERENTIEL,34MM,1
dcd4635e-ec4c-43ec-90f2-3ff21755c46a,f771d801-5357-4818-976c-6a8102b713e2,Manque grillage de protection,2020-03-13 10:51:00,DECRASSEUR,34MD,1
7d1e2005-ebc0-4f87-b49e-e9a32ca0db88,cbd40d2b-59cc-4db7-9f41-2986a167df77,Bruit anormal au niveau de la pompe booster,2020-03-17 15:08:00,Pompe nouriciere (booster)  N°30,34MM,3
0c20db52-746f-4b39-8c05-b2f0f11568ae,a8bd07dc-564e-4fd3-b1de-77bf2d6a645e,prévoir remise en état la soupape de sécurité d'alimentation en eau déminéralisé.,2020-03-19 08:05:00,SOUPAPE DE SECURITE ALIMENTATION D' EAU DEMINERALI,34MM,3
95b81bf5-9d80-49dd-8509-a8c8059f9f5a,e96ee01c-6d13-480b-a5bc-2c49bb05c70e,Appoint d'huile  .,2020-03-19 08:06:00,POMPE D'APPOINT N°1  (EAU DÉMINÉRALISÉE),34MM,1
a342ce77-64b3-4a63-a994-8aee6d111595,1fadbd2e-8213-45b5-bbe7-609c9f9b4360,blocage du dégrilleur.,2020-03-19 08:40:00,Dégrilleur,34EL,2
cb0d58a2-ccdd-4313-9f86-9d2b3ce0c54b,f771d801-5357-4818-976c-6a8102b713e2,EVACUATION ECONOMISEUR HAUT NE DEMARRE PAS,2020-03-19 08:40:00,CONVOYEUR CENDRE VOLANTE TREMIE ECONOMISEUR,34EL,1
510cc6fe-703f-404a-8e19-1d3b0e1a5884,e96ee01c-6d13-480b-a5bc-2c49bb05c70e,CHANGEMENT ACCOUPLEMENT,2020-03-20 10:19:00,POMPE D'APPOINT N°2  (EAU DÉMINÉRALISÉE),34MM,1
2db3780f-9a9b-4402-85c1-05526130b040,9ade74bc-81e8-4a87-9f09-eabf7612dec0,prévoir le contrôle vibration palier N°5 turbo-alternateur,2020-03-23 07:58:00,Capteur de Vibration Relative Palier Alternateur,SPM,2
2dccef52-14f6-4ffc-aaab-ad1642136be2,e96ee01c-6d13-480b-a5bc-2c49bb05c70e,Bruite à normale au niveau d'accouplement de la pompe déminéralisée TR3/20.,2020-03-23 08:01:00,VANNE D'APPOINT BÂCHE TAMPON.,34MM,2
df8ae68b-53a8-472c-b230-e360300e767a,c111ab6f-a961-43ce-b8fe-54b2abf73628,prévoir nettoyage filtre moteur broyeur c,2020-03-23 14:51:00,MOTEUR BROYEUR C,34EL,1
f0161414-56eb-4910-b07c-b90fc0e4fcd5,c111ab6f-a961-43ce-b8fe-54b2abf73628,prévoir nettoyage filtre moteur broyeur B,2020-03-23 14:51:00,MOTEUR BROYEUR B,34EL,1
66e16ba3-63da-4e8b-a3a6-20af922e1d1a,b19afa19-b87f-43d7-b83e-d3c8a4d4f967,soupape non étanche,2020-03-25 08:35:03,RAMONEUR DE RÉCHAUFFEUR D'AIR,34MC,1
f7500953-e292-4e5e-9486-46b579ec1cda,5d34ddc7-cd24-4926-ad7d-99b73e817c51,PRÉVOIR SOUFFLAGE PRISE DE PRESSION FOYER,2020-03-25 11:44:00,Ttransmetteur de pression foyer ..,34CT,2
ecd708b4-1faf-49fe-8404-ac315a884479,8ab799f5-144f-420c-b426-3d7e36b13f59,défaillance servomoteur vanne ramonage générale ( membrane ),2020-03-25 11:45:00,Systeme ramonage U3,34CT,1
71aa507f-d763-47a0-99bb-e181038c786b,f7edce60-d1a5-401a-b673-f1193930615c,Élimination fuite cendre conduite e transport coté ventilateur,2020-03-25 11:45:00,SYSTEM ETG,34MD,1
083919a7-f65e-49af-a47a-ac8883c0a302,7fde15d9-3de7-4c34-8a41-78a4b00d81f8,prévoir appoint de huile station hydraulique By pass HP.,2020-03-26 08:20:00,STATION HYDROLIQUE,34MG,1
95b81bf5-9d80-49dd-8509-a8c8059f9f5a,e96ee01c-6d13-480b-a5bc-2c49bb05c70e,Besoin d'appoint d'huile pompe eau déminéralisé 10/TR3.,2020-03-26 08:21:00,POMPE D'APPOINT N°1  (EAU DÉMINÉRALISÉE),34MM,1
